Restaurant,Cuisine,Neighborhood,Dollar,Address,City,State
Alegria,Mexican,Vienna,$$,111 Church St.,Vienna,VA
Ardeo & Bardeo,American,Cleveland Park,$$$,3311 Connecticut Ave. NW,Washington,DC
Ayse,Middle Eastern,Frederick,$$,6 N. East St.,Frederick,MD
Baby Wale,American,Mount Vernon Triangle,$$,1124 9th St. NW,Washington,DC
Bangkok Golden,Laotian,Seven Corners,$,6395 Seven Corners Center,Seven Corners,VA
Bar Pilar,American,Logan Circle,$$,1833 14th St. NW,Washington,DC
Bartlett Pear Inn,American,Easton,$$$,28 S. Harrison St,Easton,MD
Bastille,French,Old Town Alexandria,$$$,1201 N. Royal St.,Old Town Alexandria,VA
Birch and Barley,American,Logan Circle,$$$,1337 14th St. NW,Washington,DC
Black's Bar and Kitchen,American,Bethesda,$$$,7750 Woodmont Ave.,Bethesda,MD
Blacksalt,Seafood,Palisades,$$$$,4883 MacArthur Blvd. NW,Washington,DC
BLT Steak,Steakhouse,Downtown,$$$$,1625 I St. NW,Washington,DC
Blue Duck Tavern,American,West End,$$$$,1201 24th St. NW,Washington,DC
Bombay Club,Indian,Downtown,$$$,815 Connecticut Ave. NW,Washington,DC
Bonchon Chicken,Korean,Clarendon,$,2209-E N. Pershing Dr.,Clarendon,VA
Boqueria,Spanish,Dupont Circle,$$,1837 M St. NW,Washington,DC
Bourbon Steak,Steakhouse,Georgetown,$$$$,2800 Pennsylvania Ave. NW,Washington,DC
Brabo by Robert Wiedmaier,Belgian,Old Town Alexandria,$$$$,1600 King St.,Old Town Alexandria,VA
Casa Luca,Italian,Downtown,$$$,1099 New York Ave. NW,Washington,DC
Cashion's Eat Place,American,Adams Morgan,$$$$,1819 Columbia Rd. NW,Washington,DC
Cava Mezze,Greek,Eastern Market,$$,527 8th St. SE,Washington,DC
Cava Mezze,Greek,Clarendon,$$,527 8th St. SE,Washington,DC
Cava Mezze,Greek,Rockville,$$,9713 Traville Gateway Drive,Rockville,MD
Central Michel Richard,American,Penn Quarter,$$$,1001 Pennsylvania Ave. NW,Washington,DC
CityZen,American,Downtown,$$$$,1330 Maryland Ave. SW,Washington,DC
Corduroy,American,Mount Vernon Triangle,$$$$,1122 9th St. NW,Washington,DC
Cork,American,Logan Circle,$$$,1720 14th St. NW,Washington,DC
Daikaya,Japanese,Penn Quarter,$$,705 6th St. NW,Washington,DC
Del Campo,Latin,Penn Quarter,$$$,777 I St. NW,Washington,DC
DGS Delicatessan,Jewish,Dupont Circle,$$,1317 Connecticut Ave. NW,Washington,DC
Doi Moi,Asian Fusion,Logan Circle,$$$,1800 14th St. NW,Washington,DC
8407 Kitchen Bar,American,Silver Spring,$$$$,8407 Ramsey Ave. ,Silver Spring,MD
Estadio,Spanish,Logan Circle,$$$,1520 14th St. NW,Washington,DC
Ethiopic,Ethiopian,H Street,$$,401 H St. NE,Washington,DC
Etto,Italian,Logan Circle,$$$,1541 14th St. NW,Washington,DC
Et Voila,Belgian,Palisades,$$$,5120 MacArthur Blvd.,Washington,DC
Fiola,Italian,Penn Quarter,$$$,678 Indiana Ave. NW,Washington,DC
Food Wine & Co.,American,Bethesda,$$$,7272 Wisconsin Ave.,Bethesda,MD
G by Mike Isabella,Sandwiches,U Street,$$,2201 14th St. NW,Washington,DC
Graffiato,Italian,Penn Quarter,$$$,707 6th St. NW,Washington,DC
